,EOD_Code,EOD_Exchange,EOD_Name,EOD_Type,EOD_Country,EOD_Currency,EOD_ISIN,EOD_previousClose,EOD_previousCloseDate,Origin_Stock,Origin_Name,Origin_Country,list_isin_2,country_by_isin
114,547,SHE,Addsino Co Ltd,Common Stock,China,CNY,CNE000000DM5,13.5,2022-08-04,547,ADDSINO CO LTD -A,China,CN,China
115,ADUS,US,Addus HomeCare Corporation,Common Stock,USA,USD,US0067391062,95.18,2022-08-03,ADUS,ADDUS HOMECARE CORP,United States of America,US,USA
116,A31,SG,Addvalue Technologies Ltd,Common Stock,Singapore,SGD,SG1I67883666,0.015,2022-08-04,A31,ADDVALUE TECHNOLOGIES LTD,Singapore,SG,Singapore
117,4401,TSE,Adeka Corp,Common Stock,Japan,JPY,JP3114800000,2409,2022-08-04,4401,ADEKA CORP,Japan,JP,Japan
118,ADE,V,Adex Mining Inc,Common Stock,Canada,CAD,CA0069032070,0.01,2022-08-02,ADE,ADEX MINING INC,Canada,CA,Canada
119,ADFFOODS,NSE,ADF Foods Limited,Common Stock,India,INR,INE982B01019,728.75,2022-08-03,ADFFOODS,ADF FOODS LTD,India,IN,India
120,ADFFOODS,BSE,ADF FOODS LTD.-$,Common Stock,India,INR,INE982B01019,727.85,2022-08-03,ADFFOODS,ADF FOODS LTD,India,IN,India
121,DRX,TO,ADF Group Inc.,Common Stock,Canada,CAD,CA00089N1033,1.44,2022-08-03,DRX,ADF GROUP INC,Canada,CA,Canada
122,ATRX,US,Adhera Therapeutics Inc,Common Stock,USA,USD,US00687E1091,0.085,2022-08-03,ATRX,ADHERA THERAPEUTICS INC,United States of America,US,USA
123,ADR,AU,Adherium Ltd,Common Stock,Australia,AUD,AU000000ADR1,0.011,2022-08-04,ADR,ADHERIUM LTD,Australia,AU,Australia
124,ADIL,US,Adial Pharmaceuticals Inc,Common Stock,USA,USD,US00688A1060,0.6,2022-08-03,ADIL,ADIAL PHARMACEUTICALS INC,United States of America,US,USA
125,ADDYY,US,Adidas AG ADR,Common Stock,USA,USD,US00687A1079,87.07,2022-08-03,ADDYY,ADIDAS AG-SPONSORED ADR,United States of America,US,USA
126,ADNT,US,Adient PLC,Common Stock,USA,USD,IE00BD845X29,35.2,2022-08-03,ADNT,ADIENT PLC,United States of America,IE,Ireland
127,ABCAPITAL,NSE,Aditya Birla Capital Limited,Common Stock,India,INR,INE674K01013,106.15,2022-08-03,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,India,IN,India
128,ABCAPITAL,BSE,Aditya Birla Capital Ltd,Common Stock,India,INR,INE674K01013,106.1,2022-08-03,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,India,IN,India
129,ADMA,US,ADMA Biologics Inc,Common Stock,USA,USD,US0008991046,2.1,2022-08-03,ADMA,ADMA BIOLOGICS INC,United States of America,US,USA
130,ADBE,US,Adobe Systems Incorporated,Common Stock,USA,USD,US00724F1012,424.54,2022-08-03,ADBE,ADOBE INC,United States of America,US,USA
131,ADORWELD,NSE,Ador Welding Limited,Common Stock,India,INR,INE045A01017,768.25,2022-08-03,ADORWELD,ADOR WELDING LTD,India,IN,India
132,ADORWELD,BSE,ADOR WELDING LTD.,Common Stock,India,INR,INE045A01017,759.85,2022-08-03,ADORWELD,ADOR WELDING LTD,India,IN,India
133,ADT,AU,Adriatic Metals Plc,Common Stock,Australia,AUD,AU0000004772,2.16,2022-08-04,ADT,ADRIATIC METALS PLC-CDI,Australia,AU,Australia
134,ADST,US,Adstar Inc,Common Stock,USA,USD,US00737P1049,0.0001,2022-08-02,ADST,ADSTAR INC,,US,USA
135,ATGE,US,Adtalem Global Education Inc,Common Stock,USA,USD,US00737L1035,39.91,2022-08-03,ATGE,ADTALEM GLOBAL EDUCATION INC,United States of America,US,USA
136,6668,TSE,Adtec Plasma Technology Co Ltd,Common Stock,Japan,JPY,JP3122010006,1827,2022-08-04,6668,ADTEC PLASMA TECHNOLOGY CO,Japan,JP,Japan
137,ADVN,SW,Adval Tech Holding AG,Common Stock,Switzerland,CHF,CH0008967926,159,2022-08-03,ADVN,ADVAL TECH HOLDING AG-REG,Switzerland,CH,Switzerland
138,AAP,US,Advance Auto Parts Inc,Common Stock,USA,USD,US00751Y1064,195.27,2022-08-03,AAP,ADVANCE AUTO PARTS INC,Mexico,US,USA
139,3773,TSE,Advanced Media Inc,Common Stock,Japan,JPY,JP3122150000,803,2022-08-04,3773,ADVANCED MEDIA INC,Japan,JP,Japan
140,AMD,US,Advanced Micro Devices Inc,Common Stock,USA,USD,US0079031078,98.09,2022-08-03,AMD,ADVANCED MICRO DEVICES,United States of America,US,USA
141,5998,TSE,Advanex Inc,Common Stock,Japan,JPY,JP3213400009,1237,2022-08-04,5998,ADVANEX INC,Japan,JP,Japan
