new_index,OpenFIGI_figi,OpenFIGI_name,OpenFIGI_ticker,OpenFIGI_exchCode,OpenFIGI_compositeFIGI,OpenFIGI_securityType,OpenFIGI_marketSector,OpenFIGI_shareClassFIGI,OpenFIGI_securityType2,OpenFIGI_securityDescription,OpenFIGI_uniqueID,OpenFIGI_uniqueIDFutOpt,IB_longName,IB_marketName,IB_secIdList,Origin_Name,Origin_Stock,Origin_Country
10,BBG000C162Q4,AAC TECHNOLOGIES HOLDINGS IN,A2XN,GR,BBG000C162Q4,Common Stock,Equity,BBG001SKMWN2,Common Stock,A2XN,,,AAC TECHNOLOGIES HOLDINGS IN,2018,KYG2953R1149,AAC TECHNOLOGIES HOLDINGS IN,2018,Hong Kong
11,BBG009CXGZ63,AAG ENERGY HOLDINGS LTD,2686,HK,BBG009CXGZ45,Common Stock,Equity,BBG009CXGZ54,Common Stock,2686,,,AAG ENERGY HOLDINGS LTD,2686,KYG000371040,AAG ENERGY HOLDINGS LTD,2686,Hong Kong
12,BBG000C2LZP3,AAON INC,AAON,US,BBG000C2LZP3,Common Stock,Equity,BBG001S6CZK0,Common Stock,AAON,,,AAON INC,NMS,US0003602069,AAON INC,AAON,United States of America
13,BBG002628DF1,AAREAL BANK AG-UNSPON ADR,AAALY,US,BBG002628DF1,ADR,Equity,BBG002628F57,Depositary Receipt,AAALY,,,AAREAL BANK AG-UNSPON ADR,CURRENT,US00254K1088,AAREAL BANK AG-UNSPON ADR,AAALY,United States of America
14,BBG00LSL0YH3,AARON INDUSTRIES LTD,AARON,IN,BBG00LSL0YH3,Common Stock,Equity,BBG00LSL0YN6,Common Stock,AARON,,,AARON INDUSTRIES LTD,AARON,INE721Z01010,AARON INDUSTRIES LTD,AARON,India
15,BBG000CMRM36,AARTI DRUGS LTD,ARTD,IN,BBG000CMRM36,Common Stock,Equity,BBG001S82NR7,Common Stock,ARTD,,,AARTI DRUGS LIMITED,AARTIDRUG,INE767A01016,AARTI DRUGS LIMITED,AARTIDRUG,India
16,BBG000CMRPJ2,AARTI INDUSTRIES LIMITED,ARTO,IN,BBG000CMRPJ2,Common Stock,Equity,BBG001S82NS6,Common Stock,ARTO,,,AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020,AARTI INDUSTRIES LIMITED,AARTIIND,India
17,BBG00C7LM1R3,AAVAS FINANCIERS LTD,AAVAS,IN,BBG00C7LM1R3,Common Stock,Equity,BBG00C7LM1S2,Common Stock,AAVAS,,,AAVAS FINANCIERS LTD,AAVAS,INE216P01012,AAVAS FINANCIERS LTD,AAVAS,India
18,BBG004LSD1V5,AB DYNAMICS PLC,ABDP,LN,BBG004KFBTH1,Common Stock,Equity,BBG004KFBTK7,Common Stock,ABDP,,,AB DYNAMICS PLC,ASQ1,GB00B9GQVG73,AB DYNAMICS PLC,ABDP,United Kingdom
19,BBG007B0Z921,AB INTERNATIONAL GROUP CORP,ABQQ,US,BBG007B0Z921,Common Stock,Equity,BBG007B0Z930,Common Stock,ABQQ,,,AB INTERNATIONAL GROUP CORP,CURRENT,US00083U2024,AB INTERNATIONAL GROUP CORP,ABQQ,United States of America
