new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
66,BBG000KF9J02,ACACIA RESEARCH CORP,ACTG,US,BBG000KF9J02,Common Stock,Equity,BBG001SJLJT9,Common Stock,ACTG,,
67,BBG000BRRWR8,ACADEMIES AUSTRALASIA GROUP,AKG,AU,BBG000BRRWR8,Common Stock,Equity,BBG001S6MW71,Common Stock,AKG,,
68,BBG000FPNN38,ACADIA HEALTHCARE CO INC,ACHC,US,BBG000FPNN38,Common Stock,Equity,BBG001SNNWL7,Common Stock,ACHC,,
69,BBG000BHG9K0,ACADIA PHARMACEUTICALS INC,ACAD,US,BBG000BHG9K0,Common Stock,Equity,BBG001SB06N3,Common Stock,ACAD,,
70,BBG000BJGD54,ACADIA REALTY TRUST,AKR,US,BBG000BJGD54,REIT,Equity,BBG001S7KXT5,REIT,AKR,,
71,BBG000M62MY3,ACADIAN TIMBER CORP,ADN,CN,BBG000M62MY3,Common Stock,Equity,BBG001SQ8714,Common Stock,ADN,,
72,BBG00182VCS3,ACASTI PHARMA INC,ACST,CN,BBG00182VCS3,Common Stock,Equity,BBG001SFYCM5,Common Stock,ACST,,
73,BBG00325DVR7,ACCELERA INNOVATIONS INC,ACNV,US,BBG00325DVR7,Common Stock,Equity,BBG00325DWJ4,Common Stock,ACNV,,
74,BBG00D8FFD31,ACCELERON PHARMA INC,XLRNEUR,XS,BBG00D8FFCM2,Common Stock,Equity,BBG001T95WZ2,Common Stock,XLRNEUR,,
75,BBG000QV75L0,ACCELEWARE LTD,AXE,CN,BBG000QV75L0,Common Stock,Equity,BBG001SNRWN1,Common Stock,AXE,,
76,BBG000BQFF27,ACCELL GROUP,ACCEL,NA,BBG000BQFDC1,Common Stock,Equity,BBG001S9GYW0,Common Stock,ACCEL,,
77,,,,,,,,,,,,
78,BBG000C277B6,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,IN,BBG000C277B6,Common Stock,Equity,BBG001SD8F60,Common Stock,ACCELYA,,
79,BBG000CHSVJ9,ACCENT GROUP LTD,AX1,AU,BBG000CHSVJ9,Common Stock,Equity,BBG001SFF0R7,Common Stock,AX1,,
80,,,,,,,,,,,,
81,BBG000FGF6X1,ACCESS CO LTD,4813,JP,BBG000FGF6X1,Common Stock,Equity,BBG001SFQ6Q3,Common Stock,4813,,
82,BBG00M5133R4,ACCESS GROUP HOLDINGS CO LTD,7042,JP,BBG00M5133R4,Common Stock,Equity,BBG00M5133S3,Common Stock,7042,,
83,BBG000BBRX00,ACCESS-POWER & CO INC,ACCR,US,BBG000BBRX00,Common Stock,Equity,BBG001S5WSH0,Common Stock,ACCR,,
84,BBG000DZ5TN3,ACCESSO TECHNOLOGY GROUP PLC,ACSO,LN,BBG000DZ5TD4,Common Stock,Equity,BBG001SH73L2,Common Stock,ACSO,,
85,,,,,,,,,,,,
86,BBG000BMJCK9,ACCIONA SA,ANA,SM,BBG000BMJCK9,Common Stock,Equity,BBG001S9RSB4,Common Stock,ANA,,
87,BBG000J06K07,ACCO BRANDS CORP,ACCO,US,BBG000J06K07,Common Stock,Equity,BBG001SPBTK3,Common Stock,ACCO,,
88,BBG000BB4980,ACCOR SA,AC,FP,BBG000BB48R1,Common Stock,Equity,BBG001S5SYP3,Common Stock,AC,,
89,BBG000CF29Z2,ACCORD FINANCIAL CORP,ACD,CN,BBG000CF29Z2,Common Stock,Equity,BBG001S6TRL9,Common Stock,ACD,,
90,BBG00L8RV7Q7,ACCRETE INC,4395,JP,BBG00L8RV7Q7,Common Stock,Equity,BBG00L8RV7R6,Common Stock,4395,,
91,BBG00CZV0M61,ACCROL GROUP HOLDINGS PLC,ACRL,LN,BBG00CZV0M43,Common Stock,Equity,BBG00CZV0M52,Common Stock,ACRL,,
92,BBG000FLLXW5,ACCSYS TECHNOLOGIES PLC,AXS,EU,BBG000FLLX73,Common Stock,Equity,BBG001SNM8Q6,Common Stock,AXS,,
93,BBG00L8QRSD2,ACCURACY SHIPPING LTD,ACCURACY,IN,BBG00L8QRSD2,Common Stock,Equity,BBG00L8QRSK4,Common Stock,ACCURACY,,
94,BBG000CK4RX1,ACCURAY INC,XEJ,GR,BBG000CK4RX1,Common Stock,Equity,BBG001SFHKJ0,Common Stock,XEJ,,
95,,,,,,,,,,,,
96,BBG00H2CQSL0,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,IN,BBG00H2CQSL0,Common Stock,Equity,BBG00H2CQSR4,Common Stock,ACEINTEG,,
97,BBG0018YYFX7,ACELRX PHARMACEUTICALS INC,ACRX,US,BBG0018YYFX7,Common Stock,Equity,BBG001TFZCK5,Common Stock,ACRX,,
98,BBG002JZBTD7,ACENCIA DEBT STRATEGIES LTD,ACD,ID,BBG000PNVNH8,Closed-End Fund,Equity,BBG001SK5NF0,Mutual Fund,ACD,,
99,BBG000F160X7,ACER INC-SPONSORED GDR REG S,ACID,LI,BBG000F160H5,GDR,Equity,BBG001S8G3Y8,Depositary Receipt,ACID,,
100,BBG000BG5S59,ACER THERAPEUTICS INC,ACER,US,BBG000BG5S59,Common Stock,Equity,BBG001S7Q351,Common Stock,ACER,,
101,BBG000NL1F93,ACERUS PHARMACEUTICALS CORP,ASP,CN,BBG000NL1F93,Common Stock,Equity,BBG001T570D2,Common Stock,ASP,,
102,BBG000BSS246,ACESIAN PARTNERS LTD,ACP,SP,BBG000BSS1T1,Common Stock,Equity,BBG001SBYDM2,Common Stock,ACP,,
103,,,,,,,,,,,,
104,BBG000BL1H74,ACHILLES CORP,5142,JP,BBG000BL1H74,Common Stock,Equity,BBG001S6FCR1,Common Stock,5142,,
105,BBG0083Y2KV3,ACHILLION PHARMACEUTICALS,ACHNEUR,XS,BBG0083Y2KC4,Common Stock,Equity,BBG001SB7LL5,Common Stock,ACHNEUR,,
106,BBG000BVKJD0,ACI GLOBAL CORP,ACGJ,US,BBG000BVKJD0,Common Stock,Equity,BBG001S74T58,Common Stock,ACGJ,,
107,BBG000HYVZR5,ACI WORLDWIDE INC,TSA,GR,BBG000HYVZR5,Common Stock,Equity,BBG001S9KLL5,Common Stock,TSA,,
108,BBG000BPWGD6,ACKERMANS & VAN HAAREN,ACKB,BB,BBG000BPWG46,Common Stock,Equity,BBG001SDNB44,Common Stock,ACKB,,
109,BBG000BKPFT0,ACKROO INC,AKR,CN,BBG000BKPFT0,Common Stock,Equity,BBG001S93012,Common Stock,AKR,,
110,BBG003LF0QR9,ACLARIS THERAPEUTICS INC,ACRS,US,BBG003LF0QR9,Common Stock,Equity,BBG003LF0QS8,Common Stock,ACRS,,
111,BBG00HPSG933,ACM RESEARCH INC-CLASS A,ACMR,US,BBG00HPSG933,Common Stock,Equity,BBG00HPSG942,Common Stock,ACMR,,
112,BBG000BB3LM8,ACME UNITED CORP,ACU,US,BBG000BB3LM8,Common Stock,Equity,BBG001S5NCC0,Common Stock,ACU,,
113,BBG000HR2YD0,ACMOS INC,6888,JP,BBG000HR2YD0,Common Stock,Equity,BBG001S9CF64,Common Stock,6888,,
114,BBG000BJ2LY9,ACNB CORP,ACNB,US,BBG000BJ2LY9,Common Stock,Equity,BBG001S6CVZ3,Common Stock,ACNB,,
115,BBG000BKH691,ACOM CO LTD,8572,JP,BBG000BKH691,Common Stock,Equity,BBG001S7FWW9,Common Stock,8572,,
