,Code,Exchange,Name,Type,Country,Currency,ISIN,previousClose,previousCloseDate
80,ACCELYA,BSE,Accelya Solutions India Ltd,Common Stock,India,INR,INE793A01012,935.95,2022-07-21
81,AX1,AU,Accent Group Ltd,Common Stock,Australia,AUD,AU000000AX19,1.515,2022-07-21
82,4813,TSE,Access Co Ltd,Common Stock,Japan,JPY,JP3108060009,821.0,2022-07-21
83,7042,TSE,Access Group Holdings Co Ltd,Common Stock,Japan,JPY,JP3108190004,827.0,2022-07-21
84,ACCR,US,Access-Power & Co. Inc,Common Stock,USA,USD,US00431N1081,0.0059,2022-07-21
85,ACSO,LSE,Accesso Technology Group PLC,Common Stock,UK,GBX,GB0001771426,610.0,2022-07-21
86,LOQPF,US,Accesso Technology Group PLC,Common Stock,USA,USD,GB0001771426,7.57,2022-07-21
87,ANA,MC,Acciona,Common Stock,Spain,EUR,ES0125220311,180.6,2022-07-21
88,0H4K,LSE,Acciona,Common Stock,UK,EUR,ES0125220311,181.6,2022-07-21
89,ACCO,US,Acco Brands Corporation,Common Stock,USA,USD,US00081T1088,7.09,2022-07-21
90,AC,PA,Accor S. A.,Common Stock,France,EUR,FR0000120404,27.78,2022-07-21
91,0H59,LSE,Accor SA,Common Stock,UK,EUR,FR0000120404,27.75,2022-07-21
92,ACD,TO,Accord Financial Corp.,Common Stock,Canada,CAD,CA00435L1085,8.85,2022-07-21
93,4395,TSE,Accrete Inc,Common Stock,Japan,JPY,JP3108180005,1853.0,2022-07-21
94,ACRL,LSE,Accrol Group Holdings PLC,Common Stock,UK,GBX,GB00BZ6VT592,25.9,2022-07-21
95,AXS,LSE,Accsys Technologies PLC,Common Stock,UK,GBX,GB00BQQFX454,102.0,2022-07-21
96,ACC,LSE,Access Intelligence Plc,Common Stock,UK,GBX,GB00BQQFX454,100.5,2022-07-21
97,AXS,AS,Accsys Technologies,Common Stock,Netherlands,EUR,GB00BQQFX454,1.204,2022-07-21
98,ACCURACY,NSE,Accuracy Shipping Limited,Common Stock,India,INR,INE648Z01015,203.4,2022-07-21
99,ARAY,US,Accuray Incorporated,Common Stock,USA,USD,US0043971052,2.23,2022-07-21
100,ACRX,US,AcelRx Pharmaceuticals Inc,Common Stock,USA,USD,US00444T1007,0.25,2022-07-21
101,ACER,US,Acer Therapeutics Inc,Common Stock,USA,USD,US00444P1084,1.6,2022-07-21
102,ASPCD,US,Acerus Pharmaceuticals Corporation,Common Stock,USA,USD,CA00444G4051,1.48,2022-07-21
103,ASP,TO,Acerus Pharmaceuticals Corporation,Common Stock,Canada,CAD,CA00444G4051,3.0,2022-07-21
104,ASPCF,US,Acerus Pharmaceuticals Corporation,Common Stock,USA,USD,CA00444G4051,1.48,2022-07-21
105,5142,TSE,Achilles Corp,Common Stock,Japan,JPY,JP3108000005,1405.0,2022-07-21
106,ACIW,US,ACI Worldwide Inc,Common Stock,USA,USD,US0044981019,27.45,2022-07-21
107,ACKB,BR,Ackermans & Van Haaren NV,Common Stock,Belgium,EUR,BE0003764785,138.0,2022-07-21
108,0GYM,LSE,Ackermans & Van Haaren NV,Common Stock,UK,EUR,BE0003764785,138.5,2022-07-21
109,AKR,V,Ackroo Inc.,Common Stock,Canada,CAD,CA00461T2074,0.07,2022-07-21
110,ACRS,US,Aclaris Therapeutics Inc,Common Stock,USA,USD,US00461U1051,15.9,2022-07-21
111,ACMR,US,Acm Research Inc,Common Stock,USA,USD,US00108J1097,16.93,2022-07-21
112,ACU,US,Acme United Corporation,Common Stock,USA,USD,US0048161048,30.33,2022-07-21
113,6888,TSE,Acmos Inc,Common Stock,Japan,JPY,JP3108100003,357.0,2022-07-21
114,ACNB,US,ACNB Corporation,Common Stock,USA,USD,US0008681092,31.86,2022-07-21
115,8572,TSE,Acom Co Ltd,Common Stock,Japan,JPY,JP3108600002,335.0,2022-07-21
116,ACOR,US,Acorda Therapeutics Inc,Common Stock,USA,USD,US00484M6012,0.4727,2022-07-21
117,ACQ,AU,Acorn Capital Invest Fund,Common Stock,Australia,AUD,AU000000ACQ5,1.115,2022-07-21
118,ACFN,US,Acorn Energy Inc,Common Stock,USA,USD,US0048481073,0.55,2022-07-21
119,ACF,AU,Acrow Formwork and Construction Services Ltd,Common Stock,Australia,AUD,AU0000006124,0.495,2022-07-21
120,ATIC,ST,Actic Group AB,Common Stock,Sweden,SEK,SE0009269467,9.1,2022-07-21
121,ATNM,US,Actinium Pharmaceuticals Inc,Common Stock,USA,USD,US00507W2061,5.1,2022-07-21
122,ACW,AU,Actinogen Medical Ltd,Common Stock,Australia,AUD,AU000000ACW3,0.063,2022-07-21
123,ACE,NSE,Action Construction Equipment Limited,Common Stock,India,INR,INE731H01025,227.1,2022-07-21
124,ACE,BSE,ACTION CONSTRUCTION EQUIPMENT LTD.,Common Stock,India,INR,INE731H01025,226.9,2022-07-21
125,3279,TSE,Activia Properties Inc,Common Stock,Japan,JPY,JP3047490002,412000.0,2022-07-21
126,ATVI,US,Activision Blizzard Inc,Common Stock,USA,USD,US00507V1098,79.49,2022-07-21
127,ACT,LSE,Actual Experience plc,Common Stock,UK,GBX,GB00BJ05QC14,3.0,2022-07-21
128,AYI,US,Acuity Brands Inc,Common Stock,USA,USD,US00508Y1029,176.72,2022-07-21
129,AT,TO,AcuityAds Holdings Inc,Common Stock,Canada,CAD,CA00510L1067,3.38,2022-07-21
130,ATY,US,AcuityAds Holdings Inc,Common Stock,USA,USD,CA00510L1067,2.64,2022-07-21
131,ACUR,US,Acura Pharmaceuticals Inc,Common Stock,USA,USD,US00509L8028,0.2522,2022-07-21
132,GOLF,US,Acushnet Holdings Corp,Common Stock,USA,USD,US0050981085,47.09,2022-07-21
133,163,F,Acushnet Holdings Corp,Common Stock,Germany,EUR,US0050981085,45.4,2022-07-21
134,ACUS,US,Acusphere Inc,Common Stock,USA,USD,US00511R8549,0.0,2022-07-21
135,ADA,AU,Adacel Tech Ltd,Common Stock,Australia,AUD,AU000000ADA7,0.84,2022-07-21
136,ADH,AU,Adairs Ltd,Common Stock,Australia,AUD,AU000000ADH2,2.47,2022-07-21
137,1AD,AU,Adalta Ltd,Common Stock,Australia,AUD,AU0000001AD2,0.048,2022-07-21
