new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
76,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,INE793A01012,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,India
77,ACCENT GROUP LTD,AX1,AU000000AX19,ACCENT GROUP LTD,AX1,Australia
78,ACCENTIA BIOPHARMACEUTICALS,ABPI,US00430L1035,ACCENTIA BIOPHARMACEUTICALS,ABPI,
79,ACCESS CO LTD,4813,JP3108060009,ACCESS CO LTD,4813,Japan
80,ACCESS GROUP HOLDINGS CO LTD,7042,JP3108190004,ACCESS GROUP HOLDINGS CO LTD,7042,Japan
81,ACCESS-POWER & CO INC,CURRENT,US00431N1081,ACCESS-POWER & CO INC,ACCR,United States of America
82,ACCESSO TECHNOLOGY GROUP PLC,AMSM,GB0001771426,ACCESSO TECHNOLOGY GROUP PLC,ACSO,United Kingdom
83,ACCIDENT EXCHANGE GROUP PLC,ACE,GB00B00LL325,ACCIDENT EXCHANGE GROUP PLC,ACE,
84,ACCIONA SA,ANA,ES0125220311,ACCIONA SA,ANA,Spain
85,ACCO BRANDS CORP,ACCO,US00081T1088,ACCO BRANDS CORP,ACCO,United States of America
86,ACCOR SA,ACCN,FR0000120404,ACCOR SA,ACCN,Mexico
87,ACCORD FINANCIAL CORP,ACD,CA00435L1085,ACCORD FINANCIAL CORP,ACD,Canada
88,ACCRETE INC,4395,JP3108180005,ACCRETE INC,4395,Japan
89,ACCROL GROUP HOLDINGS PLC,AMSM,GB00BZ6VT592,ACCROL GROUP HOLDINGS PLC,ACRL,United Kingdom
90,ACCSYS TECHNOLOGIES PLC,AXS,GB00BQQFX454,ACCSYS TECHNOLOGIES PLC,AXS,Netherlands
91,ACCURACY SHIPPING LTD,ACCURACY,INE648Z01015,ACCURACY SHIPPING LTD,ACCURACY,India
92,ACCURAY INC,NMS,US0043971052,ACCURAY INC,ARAY,Germany
93,ACCURIDE CORP,ACW,US00439T2069,ACCURIDE CORP,ACW,
94,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,INE543V01017,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,India
95,ACELRX PHARMACEUTICALS INC,NMS,US00444T1007,ACELRX PHARMACEUTICALS INC,ACRX,United States of America
96,ACENCIA DEBT STRATEGIES LTD,ACD,GB00B0MSB420,ACENCIA DEBT STRATEGIES LTD,ACD,
97,ACER INC-SPONSORED GDR REG S,IOBE,US0044342055,ACER INC-SPONSORED GDR REG S,ACID,
98,ACER THERAPEUTICS INC,SCM,US00444P1084,ACER THERAPEUTICS INC,ACER,United States of America
99,ACERUS PHARMACEUTICALS CORP,ASPCF,CA00444G4051,ACERUS PHARMACEUTICALS CORP,ASPCF,United States of America
100,ACESIAN PARTNERS LTD,5FW,SG1Q66923448,ACESIAN PARTNERS LTD,5FW,Singapore
101,ACHEM TECHNOLOGY CORP,1715,TW0001715001,ACHEM TECHNOLOGY CORP,1715,
102,ACHILLES CORP,5142,JP3108000005,ACHILLES CORP,5142,Japan
103,ACHILLION PHARMACEUTICALS,XETRA,US00448Q2012,ACHILLION PHARMACEUTICALS,ADA,Germany
104,ACI GLOBAL CORP,ACGJ,US0008751044,ACI GLOBAL CORP,ACGJ,
105,ACI WORLDWIDE INC,NMS,US0044981019,ACI WORLDWIDE INC,ACIW,Germany
106,ACKERMANS & VAN HAAREN,ACKB,BE0003764785,ACKERMANS & VAN HAAREN,ACKB,Belgium
